fact_orders_logistics.order_id,fact_orders_logistics.customer_id,fact_orders_logistics.product_id,fact_orders_logistics.quantity,fact_orders_logistics.total_price,fact_orders_logistics.order_date,fact_orders_logistics.shipping_cost,fact_orders_logistics.logistics_id,fact_orders_logistics.estimated_delivery_date,fact_orders_logistics.actual_delivery_date,fact_orders_logistics.warehouse_id,fact_orders_logistics.delivery_time_delta_days,fact_orders_logistics.is_late_delivery
31,6,12,6,258.66,2025-04-20,49.19,31,2025-04-22,2025-04-24,5,2,1
85,30,19,3,712.35,2025-04-26,16.23,85,2025-05-02,2025-05-04,1,2,1
65,5,13,10,197.60,2025-09-06,38.93,65,2025-09-09,2025-09-12,2,3,1
53,21,7,8,1514.88,2025-07-18,49.15,53,NULL,2025-07-23,2,NULL,0
78,10,9,5,2198.80,2025-04-16,38.71,78,2025-04-23,2025-04-26,3,3,1
34,30,10,7,154.00,2025-08-20,8.52,34,2025-08-24,2025-08-25,5,1,1
81,12,13,1,19.76,2025-04-11,30.95,81,NULL,2025-04-19,2,NULL,0
28,10,11,1,487.94,2025-05-13,20.22,28,2025-05-17,2025-05-20,4,3,1
76,18,19,1,237.45,2025-04-29,47.98,76,2025-05-06,2025-05-09,1,3,1
26,15,9,7,3078.32,2025-07-26,45.65,26,2025-07-28,2025-07-28,3,0,0
27,6,1,7,1346.10,2025-08-23,29.07,27,2025-08-26,2025-08-26,1,0,0
44,15,10,5,110.00,2025-06-28,42.10,44,2025-07-05,2025-07-06,5,1,1
12,8,12,7,301.77,2025-08-04,34.77,12,2025-08-06,NULL,5,NULL,0
91,26,5,1,324.22,2025-04-19,14.18,91,2025-04-21,2025-04-23,4,2,1
22,16,12,2,86.22,2025-04-11,13.62,22,NULL,2025-04-15,5,NULL,0
93,20,9,7,3078.32,2025-08-14,49.42,93,2025-08-18,2025-08-19,3,1,1
47,5,16,6,1091.94,2025-04-03,5.23,47,2025-04-08,2025-04-09,1,1,1
1,11,7,4,757.44,2025-09-01,36.18,1,2025-09-04,2025-09-04,2,0,0
52,7,2,10,4322.40,2025-07-16,13.77,52,2025-07-18,NULL,1,NULL,0
13,2,4,4,48.28,2025-05-20,5.56,13,2025-05-22,NULL,1,NULL,0
6,30,1,7,1346.10,2025-08-13,16.06,6,NULL,2025-08-16,1,NULL,0
16,25,3,1,342.42,2025-07-24,8.83,16,2025-07-30,2025-07-31,5,1,1
86,5,18,4,1874.40,2025-08-13,43.69,86,2025-08-19,2025-08-22,4,3,1
3,11,5,4,1296.88,2025-05-09,48.77,3,2025-05-16,NULL,4,NULL,0
20,11,1,8,1538.40,2025-04-23,21.78,20,2025-04-26,2025-04-27,1,1,1
40,28,14,1,221.39,2025-05-06,18.77,40,2025-05-08,2025-05-10,1,2,1
94,3,8,1,248.38,2025-07-25,39.64,94,2025-07-29,2025-08-01,1,3,1
57,12,7,4,757.44,2025-08-10,25.29,57,2025-08-12,2025-08-15,2,3,1
54,9,3,2,684.84,2025-04-30,26.89,54,2025-05-06,2025-05-09,5,3,1
96,24,12,5,215.55,2025-09-08,28.07,96,2025-09-10,2025-09-12,5,2,1
48,30,17,1,92.19,2025-09-06,14.06,48,2025-09-09,2025-09-09,4,0,0
5,14,11,6,2927.64,2025-07-16,33.51,5,2025-07-19,2025-07-19,4,0,0
19,3,19,5,1187.25,2025-08-18,6.31,19,2025-08-23,2025-08-26,1,3,1
92,19,8,7,1738.66,2025-08-04,28.81,92,2025-08-06,2025-08-07,1,1,1
64,6,16,8,1455.92,2025-06-27,36.52,64,2025-07-02,2025-07-03,1,1,1
41,29,11,8,3903.52,2025-08-27,44.48,41,2025-08-30,2025-09-02,4,3,1
15,26,6,8,1039.04,2025-09-03,48.30,15,2025-09-09,2025-09-12,1,3,1
43,21,6,3,389.64,2025-04-05,39.98,43,2025-04-11,2025-04-12,1,1,1
37,11,8,3,745.14,2025-06-17,41.94,37,2025-06-23,2025-06-24,1,1,1
61,4,2,9,3890.16,2025-09-24,48.96,61,2025-09-30,2025-10-03,1,3,1
88,17,17,9,829.71,2025-07-09,28.26,88,2025-07-13,2025-07-16,4,3,1
9,16,12,4,172.44,2025-05-23,22.36,9,2025-05-29,2025-05-29,5,0,0
17,27,3,9,3081.78,2025-06-19,32.67,17,2025-06-26,2025-06-29,5,3,1
72,22,9,3,1319.28,2025-05-07,45.01,72,2025-05-14,2025-05-17,3,3,1
35,27,14,6,1328.34,2025-07-23,12.37,35,NULL,2025-07-27,1,NULL,0
4,15,4,2,24.14,2025-06-05,49.16,4,NULL,2025-06-11,1,NULL,0
55,7,13,4,79.04,2025-07-12,46.91,55,2025-07-17,2025-07-18,2,1,1
59,24,7,3,568.08,2025-05-25,31.21,59,2025-06-01,NULL,2,NULL,0
8,22,18,1,468.60,2025-07-17,25.11,8,2025-07-21,2025-07-21,4,0,0
100,20,1,4,769.20,2025-04-04,6.10,100,2025-04-06,2025-04-08,1,2,1
