logistics_id,order_id,estimated_delivery_date,actual_delivery_date,shipping_cost,warehouse_id
1,1,9/4/2025,9/4/2025,36.18,2
2,2,8/9/2025,8/12/2025,39.99,5
3,3,5/16/2025,,48.77,4
4,4,,6/11/2025,49.16,1
5,5,7/19/2025,7/19/2025,33.51,4
6,6,,8/16/2025,16.06,1
7,7,6/11/2025,6/12/2025,17.53,1
8,8,7/21/2025,7/21/2025,25.11,4
9,9,5/29/2025,5/29/2025,22.36,5
10,10,7/6/2025,7/9/2025,47.8,2
11,11,8/3/2025,,6.76,5
12,12,8/6/2025,,34.77,5
13,13,5/22/2025,,5.56,1
14,14,6/21/2025,6/21/2025,10.92,4
15,15,9/9/2025,9/12/2025,48.3,1
16,16,7/30/2025,7/31/2025,8.83,5
17,17,6/26/2025,6/29/2025,32.67,5
18,18,6/20/2025,6/20/2025,27.89,2
19,19,8/23/2025,8/26/2025,6.31,1
20,20,4/26/2025,4/27/2025,21.78,1
21,21,9/1/2025,9/4/2025,39.87,5
22,22,,4/15/2025,13.62,5
23,23,6/29/2025,6/30/2025,9.45,5
24,24,,9/11/2025,18.59,1
25,25,7/3/2025,7/4/2025,10.23,4
26,26,7/28/2025,7/28/2025,45.65,3
27,27,8/26/2025,8/26/2025,29.07,1
28,28,5/17/2025,5/20/2025,20.22,4
29,29,7/5/2025,7/5/2025,11.77,1
30,30,5/30/2025,,9.5,5
31,31,4/22/2025,4/24/2025,49.19,5
32,32,9/18/2025,9/21/2025,15.52,1
33,33,9/18/2025,9/18/2025,17.12,5
34,34,8/24/2025,8/25/2025,8.52,5
35,35,,7/27/2025,12.37,1
36,36,7/15/2025,7/18/2025,19.27,1
37,37,6/23/2025,6/24/2025,41.94,1
38,38,8/27/2025,8/29/2025,23.52,1
39,39,9/7/2025,9/7/2025,7.47,1
40,40,5/8/2025,5/10/2025,18.77,1
41,41,8/30/2025,9/2/2025,44.48,4
42,42,4/19/2025,4/19/2025,36.18,1
43,43,4/11/2025,4/12/2025,39.98,1
44,44,7/5/2025,7/6/2025,42.1,5
45,45,8/2/2025,8/2/2025,23.75,5
46,46,4/6/2025,4/8/2025,12.55,1
47,47,4/8/2025,4/9/2025,5.23,1
48,48,9/9/2025,9/9/2025,14.06,4
49,49,6/21/2025,6/22/2025,11.88,3
50,50,9/9/2025,9/10/2025,47.65,4
51,51,5/17/2025,5/20/2025,35.47,5
52,52,7/18/2025,,13.77,1
53,53,,7/23/2025,49.15,2
54,54,5/6/2025,5/9/2025,26.89,5
55,55,7/17/2025,7/18/2025,46.91,2
56,56,5/15/2025,5/18/2025,47.72,1
57,57,8/12/2025,8/15/2025,25.29,2
58,58,7/9/2025,7/12/2025,29.72,1
59,59,6/1/2025,,31.21,2
60,60,7/1/2025,7/3/2025,31.05,5
61,61,9/30/2025,10/3/2025,48.96,1
62,62,,6/16/2025,26.64,1
63,63,8/26/2025,8/29/2025,30.34,5
64,64,7/2/2025,7/3/2025,36.52,1
65,65,9/9/2025,9/12/2025,38.93,2
66,66,9/5/2025,9/7/2025,47.58,5
67,67,,6/10/2025,31.91,5
68,68,5/3/2025,5/5/2025,28.42,5
69,69,6/29/2025,,44.12,5
70,70,,5/22/2025,32.4,5
71,71,4/14/2025,4/14/2025,33,5
72,72,5/14/2025,5/17/2025,45.01,3
73,73,7/10/2025,7/10/2025,23.59,5
74,74,8/5/2025,,26.13,5
75,75,9/26/2025,9/29/2025,43.35,1
76,76,5/6/2025,5/9/2025,47.98,1
77,77,9/6/2025,9/8/2025,7.72,2
78,78,4/23/2025,4/26/2025,38.71,3
79,79,5/31/2025,6/2/2025,37.89,5
80,80,8/3/2025,8/5/2025,20.06,1
81,81,,4/19/2025,30.95,2
82,82,8/3/2025,8/3/2025,24.2,3
83,83,8/4/2025,8/4/2025,32.52,1
84,84,7/24/2025,7/26/2025,49.94,5
85,85,5/2/2025,5/4/2025,16.23,1
86,86,8/19/2025,8/22/2025,43.69,4
87,87,8/27/2025,8/29/2025,41.12,5
88,88,7/13/2025,7/16/2025,28.26,4
89,89,6/29/2025,7/2/2025,5.96,1
90,90,5/26/2025,5/26/2025,49.88,1
91,91,4/21/2025,4/23/2025,14.18,4
92,92,8/6/2025,8/7/2025,28.81,1
93,93,8/18/2025,8/19/2025,49.42,3
94,94,7/29/2025,8/1/2025,39.64,1
95,95,8/1/2025,8/3/2025,13.93,4
96,96,9/10/2025,9/12/2025,28.07,5
97,97,9/12/2025,9/15/2025,41.27,5
98,98,7/24/2025,7/24/2025,34.57,1
99,99,8/6/2025,,41.68,1
100,100,4/6/2025,4/8/2025,6.1,1
