order_id,customer_id,product_id,quantity,total_price,order_date
1,11,7,4,757.44,9/1/2025
2,13,12,10,431.1,8/6/2025
3,11,5,4,1296.88,5/9/2025
4,15,4,2,24.14,6/5/2025
5,14,11,6,2927.64,7/16/2025
6,30,1,7,1346.1,8/13/2025
7,15,14,6,1328.34,6/7/2025
8,22,18,1,468.6,7/17/2025
9,16,12,4,172.44,5/23/2025
10,29,7,7,1325.52,7/3/2025
11,10,12,3,129.33,8/1/2025
12,8,12,7,301.77,8/4/2025
13,2,4,4,48.28,5/20/2025
14,2,17,9,829.71,6/14/2025
15,26,6,8,1039.04,9/3/2025
16,25,3,1,342.42,7/24/2025
17,27,3,9,3081.78,6/19/2025
18,25,13,4,79.04,6/13/2025
19,3,19,5,1187.25,8/18/2025
20,11,1,8,1538.4,4/23/2025
21,27,3,10,3424.2,8/26/2025
22,16,12,2,86.22,4/11/2025
23,19,12,7,301.77,6/24/2025
24,1,4,9,108.63,9/4/2025
25,6,18,6,2811.6,6/27/2025
26,15,9,7,3078.32,7/26/2025
27,6,1,7,1346.1,8/23/2025
28,10,11,1,487.94,5/13/2025
29,10,4,6,72.42,7/1/2025
30,11,10,1,22,5/25/2025
31,6,12,6,258.66,4/20/2025
32,26,16,4,727.96,9/12/2025
33,6,12,3,129.33,9/13/2025
34,30,10,7,154,8/20/2025
35,27,14,6,1328.34,7/23/2025
36,7,2,8,3457.92,7/11/2025
37,11,8,3,745.14,6/17/2025
38,17,8,4,993.52,8/22/2025
39,14,19,8,1899.6,9/4/2025
40,28,14,1,221.39,5/6/2025
41,29,11,8,3903.52,8/27/2025
42,26,2,4,1728.96,4/13/2025
43,21,6,3,389.64,4/5/2025
44,15,10,5,110,6/28/2025
45,4,3,3,1027.26,7/30/2025
46,22,4,1,12.07,3/31/2025
47,5,16,6,1091.94,4/3/2025
48,30,17,1,92.19,9/6/2025
49,11,20,3,963.72,6/16/2025
50,27,5,7,2269.54,9/3/2025
51,15,15,1,412.98,5/14/2025
52,7,2,10,4322.4,7/16/2025
53,21,7,8,1514.88,7/18/2025
54,9,3,2,684.84,4/30/2025
55,7,13,4,79.04,7/12/2025
56,19,4,1,12.07,5/8/2025
57,12,7,4,757.44,8/10/2025
58,6,4,2,24.14,7/7/2025
59,24,7,3,568.08,5/25/2025
60,24,12,7,301.77,6/24/2025
61,4,2,9,3890.16,9/24/2025
62,25,4,1,12.07,6/9/2025
63,11,3,7,2396.94,8/19/2025
64,6,16,8,1455.92,6/27/2025
65,5,13,10,197.6,9/6/2025
66,12,10,2,44,9/2/2025
67,1,10,9,198,6/7/2025
68,28,10,6,132,5/1/2025
69,4,15,10,4129.8,6/22/2025
70,12,12,10,431.1,5/16/2025
71,13,10,10,220,4/9/2025
72,22,9,3,1319.28,5/7/2025
73,19,3,1,342.42,7/8/2025
74,25,15,3,1238.94,7/31/2025
75,11,8,2,496.76,9/24/2025
76,18,19,1,237.45,4/29/2025
77,7,13,3,59.28,9/1/2025
78,10,9,5,2198.8,4/16/2025
79,1,15,9,3716.82,5/28/2025
80,16,14,8,1771.12,7/29/2025
81,12,13,1,19.76,4/11/2025
82,27,9,1,439.76,8/1/2025
83,4,1,4,769.2,7/28/2025
84,1,15,4,1651.92,7/18/2025
85,30,19,3,712.35,4/26/2025
86,5,18,4,1874.4,8/13/2025
87,12,12,5,215.55,8/22/2025
88,17,17,9,829.71,7/9/2025
89,7,6,8,1039.04,6/22/2025
90,30,2,10,4322.4,5/21/2025
91,26,5,1,324.22,4/19/2025
92,19,8,7,1738.66,8/4/2025
93,20,9,7,3078.32,8/14/2025
94,3,8,1,248.38,7/25/2025
95,6,5,8,2593.76,7/29/2025
96,24,12,5,215.55,9/8/2025
97,10,12,10,431.1,9/5/2025
98,20,4,1,12.07,7/18/2025
99,7,8,5,1241.9,7/31/2025
100,20,1,4,769.2,4/4/2025
