customer_id,product_id,order_id,quantity,total_price,order_date,shipping_cost
11,7,1,4,757.44,9/1/2025,36.18
13,12,2,10,431.1,8/6/2025,39.99
11,5,3,4,1296.88,5/9/2025,48.77
15,4,4,2,24.14,6/5/2025,49.16
14,11,5,6,2927.64,7/16/2025,33.51
30,1,6,7,1346.1,8/13/2025,16.06
15,14,7,6,1328.34,6/7/2025,17.53
22,18,8,1,468.6,7/17/2025,25.11
16,12,9,4,172.44,5/23/2025,22.36
29,7,10,7,1325.52,7/3/2025,47.8
10,12,11,3,129.33,8/1/2025,6.76
8,12,12,7,301.77,8/4/2025,34.77
2,4,13,4,48.28,5/20/2025,5.56
2,17,14,9,829.71,6/14/2025,10.92
26,6,15,8,1039.04,9/3/2025,48.3
25,3,16,1,342.42,7/24/2025,8.83
27,3,17,9,3081.78,6/19/2025,32.67
25,13,18,4,79.04,6/13/2025,27.89
3,19,19,5,1187.25,8/18/2025,6.31
11,1,20,8,1538.4,4/23/2025,21.78
27,3,21,10,3424.2,8/26/2025,39.87
16,12,22,2,86.22,4/11/2025,13.62
19,12,23,7,301.77,6/24/2025,9.45
1,4,24,9,108.63,9/4/2025,18.59
6,18,25,6,2811.6,6/27/2025,10.23
15,9,26,7,3078.32,7/26/2025,45.65
6,1,27,7,1346.1,8/23/2025,29.07
10,11,28,1,487.94,5/13/2025,20.22
10,4,29,6,72.42,7/1/2025,11.77
11,10,30,1,22,5/25/2025,9.5
6,12,31,6,258.66,4/20/2025,49.19
26,16,32,4,727.96,9/12/2025,15.52
6,12,33,3,129.33,9/13/2025,17.12
30,10,34,7,154,8/20/2025,8.52
27,14,35,6,1328.34,7/23/2025,12.37
7,2,36,8,3457.92,7/11/2025,19.27
11,8,37,3,745.14,6/17/2025,41.94
17,8,38,4,993.52,8/22/2025,23.52
14,19,39,8,1899.6,9/4/2025,7.47
28,14,40,1,221.39,5/6/2025,18.77
29,11,41,8,3903.52,8/27/2025,44.48
26,2,42,4,1728.96,4/13/2025,36.18
21,6,43,3,389.64,4/5/2025,39.98
15,10,44,5,110,6/28/2025,42.1
4,3,45,3,1027.26,7/30/2025,23.75
22,4,46,1,12.07,3/31/2025,12.55
5,16,47,6,1091.94,4/3/2025,5.23
30,17,48,1,92.19,9/6/2025,14.06
11,20,49,3,963.72,6/16/2025,11.88
27,5,50,7,2269.54,9/3/2025,47.65
15,15,51,1,412.98,5/14/2025,35.47
7,2,52,10,4322.4,7/16/2025,13.77
21,7,53,8,1514.88,7/18/2025,49.15
9,3,54,2,684.84,4/30/2025,26.89
7,13,55,4,79.04,7/12/2025,46.91
19,4,56,1,12.07,5/8/2025,47.72
12,7,57,4,757.44,8/10/2025,25.29
6,4,58,2,24.14,7/7/2025,29.72
24,7,59,3,568.08,5/25/2025,31.21
24,12,60,7,301.77,6/24/2025,31.05
4,2,61,9,3890.16,9/24/2025,48.96
25,4,62,1,12.07,6/9/2025,26.64
11,3,63,7,2396.94,8/19/2025,30.34
6,16,64,8,1455.92,6/27/2025,36.52
5,13,65,10,197.6,9/6/2025,38.93
12,10,66,2,44,9/2/2025,47.58
1,10,67,9,198,6/7/2025,31.91
28,10,68,6,132,5/1/2025,28.42
4,15,69,10,4129.8,6/22/2025,44.12
12,12,70,10,431.1,5/16/2025,32.4
13,10,71,10,220,4/9/2025,33
22,9,72,3,1319.28,5/7/2025,45.01
19,3,73,1,342.42,7/8/2025,23.59
25,15,74,3,1238.94,7/31/2025,26.13
11,8,75,2,496.76,9/24/2025,43.35
18,19,76,1,237.45,4/29/2025,47.98
7,13,77,3,59.28,9/1/2025,7.72
10,9,78,5,2198.8,4/16/2025,38.71
1,15,79,9,3716.82,5/28/2025,37.89
16,14,80,8,1771.12,7/29/2025,20.06
12,13,81,1,19.76,4/11/2025,30.95
27,9,82,1,439.76,8/1/2025,24.2
4,1,83,4,769.2,7/28/2025,32.52
1,15,84,4,1651.92,7/18/2025,49.94
30,19,85,3,712.35,4/26/2025,16.23
5,18,86,4,1874.4,8/13/2025,43.69
12,12,87,5,215.55,8/22/2025,41.12
17,17,88,9,829.71,7/9/2025,28.26
7,6,89,8,1039.04,6/22/2025,5.96
30,2,90,10,4322.4,5/21/2025,49.88
26,5,91,1,324.22,4/19/2025,14.18
19,8,92,7,1738.66,8/4/2025,28.81
20,9,93,7,3078.32,8/14/2025,49.42
3,8,94,1,248.38,7/25/2025,39.64
6,5,95,8,2593.76,7/29/2025,13.93
24,12,96,5,215.55,9/8/2025,28.07
10,12,97,10,431.1,9/5/2025,41.27
20,4,98,1,12.07,7/18/2025,34.57
7,8,99,5,1241.9,7/31/2025,41.68
20,1,100,4,769.2,4/4/2025,6.1
